batch,root,instructions_reachable,last_reachable,termination,new_targets,confidence
36,0x5029,16,0x5046,return_or_indirect_dispatch,0x5034;opcode_target_table_0x507B,Verified
37,0x5047,9,0x5058,return,0x5055;0x5059,Verified
38,0x5059,12,0x506E,return,0x505B;0x506D;0x506F,Verified
39,0x506F,6,0x507A,indirect_dispatch_return,handler_target_table_0x507B,Verified
40,0x5181,10,0x51A7,return_or_tail_jump,0x518B;0x51A3;0x5715,Verified
41,0x42C6,10,0x42D6,multiple_returns,0x42D4;0x42D7,Verified
42,0x42F9,28,0x432D,return,0x42D7;0x42FB;0x4313;0x432B,Verified
43,0x5715,32,0x5751,batch_limit,0x571D;0x5733;0x5744;0x5746;0x5749;0x5754,Verified
44,0x5754,1,0x5754,return,0x5755,Verified
45,0x5755,34,0x578D,return_or_tail_jump,0x5715;0x575E;0x5771;0x57B0,Verified
46,0x558F,64,0x5612,multiple_returns,0x4FF0;0x5594;0x559C;0x55D1;0x55F3,Verified
47,0x57B0,64,0x582A,batch_limit,0x57B1;0x57D1;0x57D2;0x57DF;0x57E8;0x57F4;0x5806;0x5809;0x581E;0x5820;0x5824;0x582D,Verified
48,0x582D,4,0x5832,indirect_dispatch_return,NMI_target_table_0x5FA2;0x5833,Verified
49,0x5833,32,0x5873,return,0x5874,Verified
50,0x5894,64,0x5918,batch_limit,0x5833;0x58A6;0x58AA;0x58AB;0x58C1;0x58C9;0x58E9;0x58F0;0x58F9;0x5904;0x5916;0x591A;0x5922;0x5926;0x5931;0x5939,Verified
51,0x591A,11,0x5931,return,0x5926;0x5931;0x5932,Verified
52,0x5932,64,0x59A3,batch_limit,0x5939;0x5948;0x594E;0x59A4;0x59E2,Verified
53,0x59A4,37,0x59E1,return,0x59BD;0x59D3;0x59E1;0x59E2,Verified
54,0x59E2,22,0x5A0A,return,0x59EE;0x5A01;0x5A09,Verified
55,0x5A0B,11,0x5A24,return,0x5A25,Verified
56,0x8381,58,0x83F8,batch_limit,0x838D;0x8396;0x83A3;0x83AC;0x83C9;0x83CB;0x83D0;0x83DD;0x83F4;0x83FA,Verified
57,0x83FA,40,0x843E,return,0x840F;0x841B;0x8420;0x8422;0x842D;0x8430;0x843E;0x843F,Verified
58,0x843F,3,0x8444,tail_jump,0x44C8;0x581E,Verified
59,0x50F1,64,0x5179,multi_handler_batch,0x5139;0x514B;0x5154;0x515F;0x516A;0x5173;0x5047,Verified
60,0x517A,64,0x5203,multi_handler_batch,0x5181;0x5192;0x51AA;0x51AE;0x51B3;0x51B7;0x51CB;0x51E2;0x51E6;0x5206;0x5715;0x5755;0x5047;0x42C6,Verified
61,0x5206,64,0x527D,multi_handler_batch,0x5214;0x523C;0x523F;0x5258;0x525A;0x5271;0x5280;0x529C;0x42C6;0x42D7;0x5047,Verified
62,0x5280,63,0x52F3,multi_handler_batch,0x529E;0x52A2;0x52AA;0x52B4;0x52BA;0x52C0;0x52C6;0x52E9;0x52F3,Verified
63,0x52F3,64,0x5377,multi_handler_batch,0x5316;0x5320;0x532C;0x533A;0x5347;0x5353;0x5361;0x5375;0x5379;0x53C0;0x52A2;0x5047,Verified
64,0x5379,64,0x5401,multi_handler_batch,0x5173;0x517A;0x5192;0x51AA;0x51AE;0x53C0;0x53C2;0x53F9;0x53FB;0x5401;0x5444;0x56AF;0x56CB;0x56DC;0x5703,Verified
65,0x5401,64,0x5486,multi_handler_batch,0x5404;0x5410;0x5417;0x541E;0x5425;0x542A;0x5432;0x5444;0x5463;0x546D;0x5478;0x5480;0x5486;0x5488;0x5496;0x54A1;0x54AB;0x5047,Verified
66,0x5488,64,0x5513,multi_handler_batch,0x5490;0x5496;0x54A1;0x54AB;0x54B1;0x54CC;0x54E5;0x54F4;0x54F9;0x5514;0x4445,Verified
67,0x5514,64,0x558D,multi_handler_batch,0x5515;0x5524;0x5531;0x5535;0x5546;0x557A;0x558F;0x5047;0x5932,Verified
68,0x5613,64,0x5695,multi_handler_batch,0x5653;0x5655;0x5674;0x5676;0x5689;0x568A;0x5696;0x56AD;0x5047;0x4FF0,Verified
69,0x5696,64,0x5710,multi_handler_batch,0x56A1;0x56AD;0x56AF;0x56C7;0x56CB;0x56D7;0x56DA;0x56DC;0x56EE;0x5703,Verified
70,0x5711,2,0x5714,return,0x5715,Verified
