command_hex,command,handler_type,handler_name,parameter,direct_nmi_query,subsystem_annotation,description,chain_records,chips,primary_offset_or_speech_index,primary_pointer,speech_length
0x48,72,7,POKEY/YM2151 Sequence,60,,SFX,Arrow,1,POKEY,180,26027,
0x49,73,7,POKEY/YM2151 Sequence,61,,SFX,Lobber Throwing Rock,1,POKEY,181,26318,
0x4A,74,11,TMS5220 Speech,1,,SPEECH,ONE,0,,1,34868,140
0x4B,75,11,TMS5220 Speech,2,,SPEECH,TWO,0,,2,35008,116
0x4C,76,11,TMS5220 Speech,3,,SPEECH,THREE,0,,3,35124,137
0x4D,77,11,TMS5220 Speech,4,,SPEECH,FOUR,0,,4,35261,132
0x4E,78,11,TMS5220 Speech,5,,SPEECH,FIVE,0,,5,35393,149
0x4F,79,11,TMS5220 Speech,6,,SPEECH,SIX,0,,6,35542,88
0x50,80,11,TMS5220 Speech,7,,SPEECH,SEVEN,0,,7,35630,119
0x51,81,11,TMS5220 Speech,8,,SPEECH,EIGHT,0,,8,35749,71
0x52,82,11,TMS5220 Speech,9,,SPEECH,NINE,0,,9,35820,146
0x53,83,11,TMS5220 Speech,10,,SPEECH,TEN,0,,10,35966,111
0x54,84,11,TMS5220 Speech,11,,SPEECH,ZERO,0,,11,36077,153
0x55,85,11,TMS5220 Speech,12,,SPEECH,TRY AND FIND THE WAY OUT!,0,,14,36232,414
0x56,86,11,TMS5220 Speech,13,,SPEECH,WELCOME TO THE TREASURE ROOM.,0,,15,36646,455
0x57,87,11,TMS5220 Speech,14,,SPEECH,YOU HAVE FOUND MY TREASURE.,0,,16,37101,374
0x58,88,11,TMS5220 Speech,15,,SPEECH,TRY THIS LEVEL NOW!,0,,17,37475,401
0x59,89,11,TMS5220 Speech,16,,SPEECH,WELCOME,0,,22,37880,181
0x5A,90,11,TMS5220 Speech,17,,SPEECH,"NEEDS FOOD, BADLY.",0,,24,38062,324
0x5B,91,11,TMS5220 Speech,18,,SPEECH,YOUR LIFE FORCE IS RUNNING OUT!,0,,28,38389,496
0x5C,92,11,TMS5220 Speech,19,,SPEECH,ALL YOUR POWERS WILL BE LOST!,0,,29,38885,355
0x5D,93,11,TMS5220 Speech,20,,SPEECH,IS ABOUT TO DIE!,0,,31,39241,287
0x5E,94,11,TMS5220 Speech,21,,SPEECH,LET'S SEE YOU GET OUT OF HERE!,0,,32,39528,406
0x5F,95,11,TMS5220 Speech,22,,SPEECH,I'VE NOT SEEN SUCH BRAVERY!,0,,34,39935,485
0x60,96,11,TMS5220 Speech,23,,SPEECH,THAT WAS A HEROIC EFFORT!,0,,35,40420,350
0x61,97,11,TMS5220 Speech,24,,SPEECH,SOMEONE SHOT THE FOOD.,0,,36,40770,397
0x62,98,11,TMS5220 Speech,25,,SPEECH,"HEE HEE HEE HEE HEE HEE HEE"" - Thief High Pitched",0,,37,41167,200
0x63,99,11,TMS5220 Speech,26,,SPEECH,"YOU CAN'T CATCH ME!"" - Thief High Pitched",0,,38,41367,216
0x64,100,11,TMS5220 Speech,27,,SPEECH,"HA HA HA HA"" - Thief Low Pitched",0,,39,41583,172
0x65,101,11,TMS5220 Speech,28,,SPEECH,"YOU CAN'T CATCH ME!"" - Thief Low Pitched",0,,40,41755,193
0x66,102,11,TMS5220 Speech,29,,SPEECH,HEH HEH,0,,41,41948,122
0x67,103,11,TMS5220 Speech,30,,SPEECH,HA HA,0,,42,42070,103
0x68,104,11,TMS5220 Speech,31,,SPEECH,HAH HAW HAH HAW,0,,43,42173,243
0x69,105,11,TMS5220 Speech,32,,SPEECH,"MMM..MM"" - Wizard",0,,57,42429,177
0x6A,106,11,TMS5220 Speech,33,,SPEECH,"ARGH"" - Wizard",0,,58,42606,143
0x6B,107,11,TMS5220 Speech,34,,SPEECH,"MMHH.."" - Wizard",0,,59,42749,115
0x6C,108,11,TMS5220 Speech,35,,SPEECH,"URGH"" - Wizard",0,,60,42864,108
0x6D,109,11,TMS5220 Speech,36,,SPEECH,"OOH"" - Wizard",0,,61,42972,108
0x6E,110,11,TMS5220 Speech,37,,SPEECH,"OW"" - Wizard",0,,62,43080,77
0x6F,111,11,TMS5220 Speech,38,,SPEECH,"AHH"" - Wizard",0,,63,43157,108
0x70,112,11,TMS5220 Speech,39,,SPEECH,"SAYS YOU"" - Wizard",0,,64,43265,149
0x71,113,11,TMS5220 Speech,40,,SPEECH,"MMM...YES"" - Wizard",0,,65,43414,246
0x72,114,11,TMS5220 Speech,41,,SPEECH,"SO YOU SEE"" - Wizard",0,,66,43660,163
0x73,115,11,TMS5220 Speech,42,,SPEECH,"CAN YOU SEE?"" - Wizard",0,,67,43823,191
0x74,116,11,TMS5220 Speech,43,,SPEECH,"PERISH YE"" - Wizard",0,,68,44014,200
0x75,117,11,TMS5220 Speech,44,,SPEECH,"UH"" - Wizard",0,,69,44214,87
0x76,118,11,TMS5220 Speech,45,,SPEECH,"EEH EEH EEH EEH"" - Elf",0,,73,44304,127
0x77,119,11,TMS5220 Speech,46,,SPEECH,"MMMM.."" - Elf",0,,74,44431,165
0x78,120,11,TMS5220 Speech,47,,SPEECH,"ARGH"" - Elf",0,,75,44596,83
0x79,121,11,TMS5220 Speech,48,,SPEECH,"OOH"" - Elf",0,,76,44679,58
0x7A,122,11,TMS5220 Speech,49,,SPEECH,"OOH"" - Elf",0,,77,44737,71
0x7B,123,11,TMS5220 Speech,50,,SPEECH,"AAH"" - Elf",0,,78,44808,68
0x7C,124,11,TMS5220 Speech,51,,SPEECH,"UH"" - Elf",0,,79,44876,46
0x7D,125,11,TMS5220 Speech,52,,SPEECH,"OOOH"" - Elf",0,,80,44922,83
0x7E,126,11,TMS5220 Speech,53,,SPEECH,"OW"" - Elf",0,,81,45005,96
0x7F,127,11,TMS5220 Speech,54,,SPEECH,"YEOW"" - Elf",0,,82,45101,171
0x80,128,11,TMS5220 Speech,55,,SPEECH,"OOOOH"" - Elf",0,,83,45272,165
0x81,129,11,TMS5220 Speech,56,,SPEECH,"OB"" - Warrior",0,,84,45437,71
0x82,130,11,TMS5220 Speech,57,,SPEECH,"OORUB"" - Warrior",0,,85,45508,115
0x83,131,11,TMS5220 Speech,58,,SPEECH,"OW"" - Warrior",0,,86,45623,83
0x84,132,11,TMS5220 Speech,59,,SPEECH,"OH"" - Warrior",0,,87,45706,77
0x85,133,11,TMS5220 Speech,60,,SPEECH,"OOH"" - Warrior",0,,88,45783,83
0x86,134,11,TMS5220 Speech,61,,SPEECH,"UH"" - Warrior",0,,89,45866,102
0x87,135,11,TMS5220 Speech,62,,SPEECH,"UHHHH.."" - Warrior",0,,90,45968,246
0x88,136,11,TMS5220 Speech,63,,SPEECH,"URRPPP"" - Warrior",0,,91,46214,127
0x89,137,11,TMS5220 Speech,64,,SPEECH,"OH"" - Valkyrie",0,,92,46341,71
0x8A,138,11,TMS5220 Speech,65,,SPEECH,"GULP"" - Valkyrie",0,,94,46413,52
0x8B,139,11,TMS5220 Speech,66,,SPEECH,YOU JUST SHOT THE POTION!,0,,97,46467,334
0x8C,140,11,TMS5220 Speech,67,,SPEECH,YOUR SHOWS NOW STUN OTHER PLAYERS.,0,,98,46801,496
0x8D,141,11,TMS5220 Speech,68,,SPEECH,NOW HAS,0,,100,47298,211
0x8E,142,11,TMS5220 Speech,69,,SPEECH,LIMITED INVISIBILITY,0,,101,47509,322
0x8F,143,11,TMS5220 Speech,70,,SPEECH,EXTRA ARMOR,0,,102,47831,208
0x90,144,11,TMS5220 Speech,71,,SPEECH,EXTRA SPEED,0,,103,48039,249
0x91,145,11,TMS5220 Speech,72,,SPEECH,EXTRA MAGIC POWER,0,,104,48288,310
0x92,146,11,TMS5220 Speech,73,,SPEECH,EXTRA SHOT POWER,0,,105,48598,275
0x93,147,11,TMS5220 Speech,74,,SPEECH,EXTRA SHOT SPEED,0,,106,48873,299
0x94,148,11,TMS5220 Speech,75,,SPEECH,EXTRA FIGHT POWER,0,,107,49172,324
0x95,149,11,TMS5220 Speech,76,,SPEECH,"ERR"" - Wizard",0,,108,49496,90
0x96,150,11,TMS5220 Speech,77,,SPEECH,"EHRR"" - Wizard",0,,109,49586,102
0x97,151,11,TMS5220 Speech,78,,SPEECH,"ERSH"" - Wizard",0,,110,49688,107
0x98,152,11,TMS5220 Speech,79,,SPEECH,DON'T SHOOT YOUR FRIENDS ON THIS LEVEL.,0,,111,49795,485
0x99,153,11,TMS5220 Speech,80,,SPEECH,YOUR SHOTS NOW HURT OTHER PLAYERS.,0,,112,50280,454
0x9A,154,11,TMS5220 Speech,81,,SPEECH,SHOT THE FOOD.,0,,113,50734,241
0x9B,155,11,TMS5220 Speech,82,,SPEECH,FIND THE HIDDEN POTION.,0,,115,50976,342
0x9C,156,11,TMS5220 Speech,83,,SPEECH,SHOT THE POTION!,0,,118,51320,213
0x9D,157,11,TMS5220 Speech,84,,SPEECH,"REMEMBER, DON'T SHOOT FOOD.",0,,120,51534,406
0x9E,158,11,TMS5220 Speech,85,,SPEECH,SHOTS DO NOT HURT OTHER PLAYERS - YET.,0,,124,51943,490
0x9F,159,11,TMS5220 Speech,86,,SPEECH,HAS EATEN ALL THE FOOD LATELY.,0,,126,52434,351
0xA0,160,11,TMS5220 Speech,87,,SPEECH,BETTER LUCK NEXT TIME.,0,,127,52785,279
0xA1,161,11,TMS5220 Speech,88,,SPEECH,BETTER HURRY!,0,,128,53064,196
0xA2,162,11,TMS5220 Speech,89,,SPEECH,TIME IS RUNNING OUT!,0,,129,53260,298
0xA3,163,11,TMS5220 Speech,90,,SPEECH,TIME'S ON MY SIDE.,0,,130,53558,381
0xA4,164,11,TMS5220 Speech,91,,SPEECH,CAN YOU MAKE IT?,0,,131,53939,212
0xA5,165,11,TMS5220 Speech,92,,SPEECH,JUST KIDDING.,0,,132,54151,213
0xA6,166,11,TMS5220 Speech,93,,SPEECH,FOOLED YOU!,0,,134,54365,163
0xA7,167,11,TMS5220 Speech,94,,SPEECH,LOOKS LIKE YOU LOSE!,0,,135,54528,327
0xA8,168,11,TMS5220 Speech,95,,SPEECH,DON'T SHOOT THE POTION!,0,,140,54859,269
0xA9,169,11,TMS5220 Speech,96,,SPEECH,"YUM"" - Valkyrie",0,,141,55128,171
0xAA,170,11,TMS5220 Speech,97,,SPEECH,"OW"" - Valkyrie",0,,142,55299,110
0xAB,171,11,TMS5220 Speech,98,,SPEECH,"OUCH"" - Valkyrie",0,,143,55409,101
0xAC,172,11,TMS5220 Speech,99,,SPEECH,"UH"" - Valkyrie",0,,144,55510,66
0xAD,173,11,TMS5220 Speech,100,,SPEECH,"OOH"" - Valkyrie",0,,145,55576,85
0xAE,174,11,TMS5220 Speech,101,,SPEECH,"OOOH"" - Valkyrie",0,,146,55661,102
0xAF,175,11,TMS5220 Speech,102,,SPEECH,"OWW"" - Valkyrie",0,,147,55763,110
0xB0,176,11,TMS5220 Speech,103,,SPEECH,"YOW"" - Valkyrie",0,,148,55873,128
0xB1,177,11,TMS5220 Speech,104,,SPEECH,"AAHH"" - Valkyrie",0,,149,56001,115
0xB2,178,11,TMS5220 Speech,105,,SPEECH,"OH"" - Valkyrie",0,,150,56116,140
0xB3,179,11,TMS5220 Speech,106,,SPEECH,"HOO"" - Valkyrie",0,,151,56256,127
0xB4,180,11,TMS5220 Speech,107,,SPEECH,"UGH"" - Valkyrie",0,,152,56383,158
0xB5,181,11,TMS5220 Speech,108,,SPEECH,"AHHHHH"" - Valkyrie",0,,153,56541,303
0xB6,182,11,TMS5220 Speech,109,,SPEECH,KILL THIEF TO RECOVER STOLEN ITEM.,0,,154,56844,433
0xB7,183,11,TMS5220 Speech,110,,SPEECH,SOME WALLS MAY BE DESTROYED.,0,,155,57277,434
0xB8,184,11,TMS5220 Speech,111,,SPEECH,TRAPS MAKE WALLS DISSAPPEAR.,0,,156,57711,417
0xB9,185,11,TMS5220 Speech,112,,SPEECH,"UGHHH"" - Elf",0,,157,58128,315
0xBA,186,11,TMS5220 Speech,113,,SPEECH,"AHHHH"" - Wizard",0,,160,58772,202
0xBB,187,11,TMS5220 Speech,114,,SPEECH,"OOOOOH"" - Warrior",0,,162,58975,478
0xBC,188,11,TMS5220 Speech,115,,SPEECH,"AHHH"" - Elf",0,,158,58443,328
0xBD,189,11,TMS5220 Speech,116,,SPEECH,RED WARRIOR,0,,163,59453,203
0xBE,190,11,TMS5220 Speech,117,,SPEECH,RED VALKYRIE,0,,164,59656,226
0xBF,191,11,TMS5220 Speech,118,,SPEECH,RED WIZARD,0,,165,59882,190
0xC0,192,11,TMS5220 Speech,119,,SPEECH,RED ELF,0,,166,60072,187
0xC1,193,11,TMS5220 Speech,120,,SPEECH,BLUE WARRIOR,0,,167,60259,208
0xC2,194,11,TMS5220 Speech,121,,SPEECH,BLUE VALKYRIE,0,,168,60467,203
0xC3,195,11,TMS5220 Speech,122,,SPEECH,BLUE WIZARD,0,,169,60670,221
0xC4,196,11,TMS5220 Speech,123,,SPEECH,BLUE ELF,0,,170,60891,173
0xC5,197,11,TMS5220 Speech,124,,SPEECH,YELLOW WARRIOR,0,,171,61064,240
0xC6,198,11,TMS5220 Speech,125,,SPEECH,YELLOW VALKYRIE,0,,172,61304,231
0xC7,199,11,TMS5220 Speech,126,,SPEECH,YELLOW WIZARD,0,,173,61535,215
0xC8,200,11,TMS5220 Speech,127,,SPEECH,YELLOW ELF,0,,174,61750,191
0xC9,201,11,TMS5220 Speech,128,,SPEECH,GREEN WARRIOR,0,,175,61941,240
0xCA,202,11,TMS5220 Speech,129,,SPEECH,GREEN VALKYRIE,0,,176,62181,275
0xCB,203,11,TMS5220 Speech,130,,SPEECH,GREEN WIZARD,0,,177,62456,224
0xCC,204,11,TMS5220 Speech,131,,SPEECH,GREEN ELF,0,,178,62680,180
0xCD,205,11,TMS5220 Speech,132,,SPEECH,SOME WALLS ARE INVISIBLE,0,,179,62860,367
0xCE,206,11,TMS5220 Speech,133,,SPEECH,EXITS MAY MOVE AROUND,0,,180,63227,318
0xCF,207,11,TMS5220 Speech,134,,SPEECH,REFLECTIVE SHOTS,0,,181,63545,216
0xD0,208,11,TMS5220 Speech,135,,SPEECH,TEMPORARY TRANSPORTABILITY,0,,182,63761,316
0xD1,209,11,TMS5220 Speech,136,,SPEECH,TEMPORARY REPULSIVENESS,0,,183,64077,325
0xD2,210,11,TMS5220 Speech,137,,SPEECH,THIS TREASURE CHEST IS LOCKED.,0,,184,64402,336
0xD3,211,11,TMS5220 Speech,138,,SPEECH,IS IT,0,,185,64738,91
0xD4,212,11,TMS5220 Speech,139,,SPEECH,IS NOW IT,0,,186,64829,244
0xD5,213,11,TMS5220 Speech,140,,SPEECH,Dragon Roar,0,,188,65074,155
0xD6,214,13,Control Register,231,,CONTROL,Mixer/control preset $E7; operator sound-test selectable,0,,,,
0xD7,215,13,Control Register,239,,CONTROL,Mixer/control preset $EF; level-start and operator-test use,0,,,,
0xD8,216,13,Control Register,247,,CONTROL,Mixer/control preset $F7; operator sound-test selectable,0,,,,
0xD9,217,13,Control Register,255,,CONTROL,Mixer/control preset $FF; operator sound-test selectable,0,,,,
0xDA,218,8,Output Buffer Queue,85,,STATUS,Queue $55 response byte; operator sound-test selectable,0,,,,
