start,end_inclusive,size,classification
28593,28599,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28600,28604,5,ym2151_envelope_register_block+ym2151_voice_record_structural
28605,28605,1,ym2151_register_block+ym2151_voice_record_structural
28606,28633,28,ym2151_voice+ym2151_voice_record_structural
28634,28634,1,ym2151_voice_record_structural
28635,28641,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28642,28647,6,ym2151_voice_record_structural
28648,28689,42,ym2151_voice_record_unreferenced
28690,28717,28,ym2151_voice+ym2151_voice_record_structural
28718,28718,1,ym2151_voice_record_structural
28719,28725,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28726,28730,5,ym2151_envelope_register_block+ym2151_voice_record_structural
28731,28731,1,ym2151_register_block+ym2151_voice_record_structural
28732,28759,28,ym2151_voice+ym2151_voice_record_structural
28760,28760,1,ym2151_voice_record_structural
28761,28767,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28768,28772,5,ym2151_envelope_register_block+ym2151_voice_record_structural
28773,28773,1,ym2151_voice_record_structural
28774,28801,28,ym2151_voice+ym2151_voice_record_structural
28802,28802,1,ym2151_voice_record_structural
28803,28809,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28810,28815,6,ym2151_voice_record_structural
28816,28899,84,ym2151_voice_record_unreferenced
28900,28927,28,ym2151_voice+ym2151_voice_record_structural
28928,28928,1,ym2151_voice_record_structural
28929,28935,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28936,28941,6,ym2151_voice_record_structural
28942,28977,36,ym2151_voice_record_auxiliary_only
28978,28982,5,ym2151_envelope_register_block+ym2151_voice_record_auxiliary_only
28983,28983,1,ym2151_voice_record_auxiliary_only
28984,29011,28,ym2151_voice+ym2151_voice_record_structural
29012,29012,1,ym2151_voice_record_structural
29013,29019,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29020,29025,6,ym2151_voice_record_structural
29026,29151,126,ym2151_voice_record_unreferenced
29152,29179,28,ym2151_voice+ym2151_voice_record_structural
29180,29180,1,ym2151_voice_record_structural
29181,29187,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29188,29193,6,ym2151_voice_record_structural
29194,29221,28,ym2151_voice+ym2151_voice_record_structural
29222,29222,1,ym2151_voice_record_structural
29223,29229,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29230,29235,6,ym2151_voice_record_structural
29236,29263,28,ym2151_voice+ym2151_voice_record_structural
29264,29264,1,ym2151_voice_record_structural
29265,29271,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29272,29277,6,ym2151_voice_record_structural
29278,29319,42,ym2151_voice_record_unreferenced
29320,29347,28,ym2151_voice+ym2151_voice_record_structural
29348,29348,1,ym2151_voice_record_structural
29349,29355,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29356,29360,5,ym2151_envelope_register_block+ym2151_voice_record_structural
29361,29361,1,ym2151_voice_record_structural
29362,29389,28,ym2151_voice+ym2151_voice_record_structural
29390,29390,1,ym2151_voice_record_structural
29391,29397,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
29398,29403,6,ym2151_voice_record_structural
29404,29659,256,ym_total_level_nonlinear_lookup
29660,29681,22,sequence_bytecode
29682,29683,2,computed_jump_unreachable_zero_trailer
29684,29705,22,sequence_bytecode
29706,29707,2,computed_jump_unreachable_zero_trailer
29708,29729,22,sequence_bytecode
29730,29731,2,computed_jump_unreachable_zero_trailer
29732,29753,22,sequence_bytecode
29754,29755,2,computed_jump_unreachable_zero_trailer
29756,30374,619,sequence_bytecode
30375,30376,2,computed_jump_unreachable_zero_trailer
30377,30397,21,sequence_bytecode
30398,30399,2,computed_jump_unreachable_zero_trailer
30400,30420,21,sequence_bytecode
30421,30422,2,computed_jump_unreachable_zero_trailer
30423,30443,21,sequence_bytecode
30444,30445,2,computed_jump_unreachable_zero_trailer
30446,30468,23,sequence_bytecode
30469,30470,2,computed_jump_unreachable_zero_trailer
30471,30493,23,sequence_bytecode
30494,30495,2,computed_jump_unreachable_zero_trailer
30496,30518,23,sequence_bytecode
30519,30520,2,computed_jump_unreachable_zero_trailer
30521,30543,23,sequence_bytecode
30544,30545,2,computed_jump_unreachable_zero_trailer
30546,30568,23,sequence_bytecode
30569,30570,2,computed_jump_unreachable_zero_trailer
30571,30593,23,sequence_bytecode
30594,30595,2,computed_jump_unreachable_zero_trailer
30596,30618,23,sequence_bytecode
30619,30620,2,computed_jump_unreachable_zero_trailer
30621,30643,23,sequence_bytecode
30644,30645,2,computed_jump_unreachable_zero_trailer
30646,30670,25,sequence_bytecode
30671,30672,2,computed_jump_unreachable_zero_trailer
30673,30697,25,sequence_bytecode
30698,30699,2,computed_jump_unreachable_zero_trailer
30700,30724,25,sequence_bytecode
30725,30726,2,computed_jump_unreachable_zero_trailer
30727,30751,25,sequence_bytecode
30752,30753,2,computed_jump_unreachable_zero_trailer
30754,30780,27,sequence_bytecode
30781,30782,2,computed_jump_unreachable_zero_trailer
30783,30809,27,sequence_bytecode
30810,30811,2,computed_jump_unreachable_zero_trailer
30812,30838,27,sequence_bytecode
30839,30840,2,computed_jump_unreachable_zero_trailer
30841,30867,27,sequence_bytecode
30868,30869,2,computed_jump_unreachable_zero_trailer
30870,32985,2116,sequence_bytecode
32986,32994,9,unreferenced_sequence_candidate
32995,33664,670,sequence_bytecode
