address,entry_kind,source,classification_basis,confidence
0x43C6,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x43D2,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x43D4,table_dispatch_entry,handler_table_type_9,traversal_state,Verified
0x43E5,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x43F7,batch_continuation,0x43F5,traversal_state,Verified
0x4406,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x440A,internal_basic_block,0x4381;0x43F7,direct_branch_or_fallthrough_target,Verified
0x440B,table_dispatch_entry,handler_table_type_10,traversal_state,Verified
0x4411,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x4434,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x4439,table_dispatch_entry,handler_table_type_11,traversal_state,Verified
0x4444,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x4445,table_dispatch_entry,handler_table_type_8,traversal_state,Verified
0x4452,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x445B,internal_basic_block,0x43F7,direct_branch_or_fallthrough_target,Verified
0x4461,table_dispatch_entry,handler_table_type_12,traversal_state,Verified
0x4479,batch_continuation,0x4477,traversal_state,Verified
0x4481,internal_basic_block,0x43F7;0x4479,direct_branch_or_fallthrough_target,Verified
0x44A6,internal_basic_block,0x4479,direct_branch_or_fallthrough_target,Verified
0x44A7,internal_basic_block,0x43F7;0x4479,direct_branch_or_fallthrough_target,Verified
0x44A8,table_dispatch_entry,NMI_direct_table_query_7,traversal_state,Verified
0x44B8,table_dispatch_entry,NMI_direct_table_query_6,traversal_state,Verified
0x44BD,internal_basic_block,0x4479,direct_branch_or_fallthrough_target,Verified
0x44C8,callable_subroutine,0x44AA;0x44BA,traversal_state,Verified
0x44CB,internal_basic_block,0x4479,direct_branch_or_fallthrough_target,Verified
0x44D7,internal_basic_block,0x4479,direct_branch_or_fallthrough_target,Verified
0x44DE,table_dispatch_entry,handler_table_type_7,traversal_state,Verified
0x44ED,internal_basic_block,0x44F7,direct_branch_or_fallthrough_target,Verified
0x44F7,batch_continuation,0x44F5,traversal_state,Verified
0x44F8,internal_basic_block,0x4479;0x44F7,direct_branch_or_fallthrough_target,Verified
0x44FA,internal_basic_block,0x4479,direct_branch_or_fallthrough_target,Verified
0x44FD,internal_basic_block,0x4479;0x44F7;0x458A,direct_branch_or_fallthrough_target,Verified
0x4502,internal_basic_block,0x44F7,direct_branch_or_fallthrough_target,Verified
0x4525,internal_basic_block,0x44F7,direct_branch_or_fallthrough_target,Verified
0x4528,internal_basic_block,0x44F7,direct_branch_or_fallthrough_target,Verified
0x4532,internal_basic_block,0x44F7,direct_branch_or_fallthrough_target,Verified
0x458A,batch_continuation,0x4587,traversal_state,Verified
0x45BF,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45C2,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45CC,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45CF,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45D7,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45F1,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x45FC,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x4602,internal_basic_block,0x458A,direct_branch_or_fallthrough_target,Verified
0x4618,table_dispatch_entry,handler_table_type_14,traversal_state,Verified
0x4619,table_dispatch_entry,handler_table_type_13,traversal_state,Verified
0x4632,internal_basic_block,0x4619,direct_branch_or_fallthrough_target,Verified
0x4651,callable_subroutine,known_sequence_update_entry,traversal_state,Verified
0x4658,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x4666,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x4669,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x4698,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x46C2,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x46CC,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x46E6,internal_basic_block,0x4651,direct_branch_or_fallthrough_target,Verified
0x46ED,batch_continuation,0x46EA,traversal_state,Verified
0x46FD,internal_basic_block,0x4651;0x46ED,direct_branch_or_fallthrough_target,Verified
0x4708,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4716,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4719,internal_basic_block,0x4695,traversal_state,Verified
0x4727,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x473E,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4749,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4752,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4756,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4771,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x4781,batch_continuation,0x4780,traversal_state,Verified
0x47A4,internal_basic_block,0x46ED,direct_branch_or_fallthrough_target,Verified
0x47BD,internal_basic_block,0x4781,direct_branch_or_fallthrough_target,Verified
0x47D4,internal_basic_block,0x46ED;0x4781,direct_branch_or_fallthrough_target,Verified
0x47E1,internal_basic_block,0x4781,direct_branch_or_fallthrough_target,Verified
0x4809,internal_basic_block,0x4666;0x46E3;0x47E4,traversal_state,Verified
0x4818,batch_continuation,0x4815,traversal_state,Verified
0x483E,internal_basic_block,0x4818,direct_branch_or_fallthrough_target,Verified
0x4841,internal_basic_block,0x4818,direct_branch_or_fallthrough_target,Verified
0x4844,internal_basic_block,0x47DE,traversal_state,Verified
0x4854,internal_basic_block,0x4818,direct_branch_or_fallthrough_target,Verified
0x488B,internal_basic_block,0x4818,direct_branch_or_fallthrough_target,Verified
0x48AC,batch_continuation,0x48A9,traversal_state,Verified
0x48C5,internal_basic_block,0x4818;0x48AC,direct_branch_or_fallthrough_target,Verified
0x48D7,internal_basic_block,0x48AC,direct_branch_or_fallthrough_target,Verified
0x48EF,internal_basic_block,0x4818;0x48AC,direct_branch_or_fallthrough_target,Verified
0x491C,internal_basic_block,0x48AC,direct_branch_or_fallthrough_target,Verified
0x4931,internal_basic_block,0x48AC,direct_branch_or_fallthrough_target,Verified
0x4934,internal_basic_block,0x48AC,direct_branch_or_fallthrough_target,Verified
0x4942,batch_continuation,0x4940,traversal_state,Verified
0x4948,internal_basic_block,0x48AC;0x4942,direct_branch_or_fallthrough_target,Verified
0x497E,internal_basic_block,0x4942,direct_branch_or_fallthrough_target,Verified
0x49A2,internal_basic_block,0x4942,direct_branch_or_fallthrough_target,Verified
0x49A5,internal_basic_block,0x46C9;0x4952,traversal_state,Verified
0x49B5,internal_basic_block,0x4942,direct_branch_or_fallthrough_target,Verified
0x49C5,internal_basic_block,0x4942,direct_branch_or_fallthrough_target,Verified
0x49D5,batch_continuation,0x49D4,traversal_state,Verified
0x49D9,internal_basic_block,0x4942,direct_branch_or_fallthrough_target,Verified
0x49DE,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x49F6,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x49FB,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A0F,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A1F,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A31,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A34,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A3E,internal_basic_block,0x49D5,direct_branch_or_fallthrough_target,Verified
0x4A53,batch_continuation,0x4A52,traversal_state,Verified
0x4A6F,internal_basic_block,0x49D5;0x4A53,direct_branch_or_fallthrough_target,Verified
0x4A9F,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4AA5,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4AAA,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4AC2,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4AC7,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4ADB,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4AE1,batch_continuation,0x4ADF,traversal_state,Verified
0x4AE7,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4AF9,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4AFC,internal_basic_block,0x4A53,direct_branch_or_fallthrough_target,Verified
0x4B0A,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B1C,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B27,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B31,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B39,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B3F,internal_basic_block,0x4A53;0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B45,internal_basic_block,0x46BF;0x49B2,traversal_state,Verified
0x4B47,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B5D,internal_basic_block,0x4716;0x4746;0x4B4F,traversal_state,Verified
0x4B6A,internal_basic_block,0x4AE1,direct_branch_or_fallthrough_target,Verified
0x4B6B,callable_subroutine,0x46F7;0x4931,traversal_state,Verified
0x4B8D,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4B8F,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BA5,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BA8,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BAD,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BC5,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BC9,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BD5,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BF2,internal_basic_block,0x4B6B,direct_branch_or_fallthrough_target,Verified
0x4BF6,batch_continuation,0x4BF5,traversal_state,Verified
0x4BFF,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C0D,internal_basic_block,0x4B6B;0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C12,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C16,callable_subroutine,0x4713;0x493D,traversal_state,Verified
0x4C23,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C26,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C38,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C61,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C69,internal_basic_block,0x4BF6,direct_branch_or_fallthrough_target,Verified
0x4C74,batch_continuation,0x4C71,traversal_state,Verified
0x4CA2,internal_basic_block,0x4C74,direct_branch_or_fallthrough_target,Verified
0x4CB5,internal_basic_block,0x4C74,direct_branch_or_fallthrough_target,Verified
0x4CBD,internal_basic_block,0x4BF6;0x4C74,direct_branch_or_fallthrough_target,Verified
0x4CDD,internal_basic_block,0x4C74,direct_branch_or_fallthrough_target,Verified
0x4CF0,internal_basic_block,0x4C74,direct_branch_or_fallthrough_target,Verified
0x4D01,internal_basic_block,0x4C74,direct_branch_or_fallthrough_target,Verified
0x4D02,callable_subroutine,known_pokey_mix_entry,traversal_state,Verified
0x4D54,internal_basic_block,0x4D02,direct_branch_or_fallthrough_target,Verified
0x4D79,internal_basic_block,0x4D02,direct_branch_or_fallthrough_target,Verified
0x4D87,internal_basic_block,0x4D02,direct_branch_or_fallthrough_target,Verified
0x4D92,internal_basic_block,0x4D02,direct_branch_or_fallthrough_target,Verified
0x4DA6,batch_continuation,0x4DA4,traversal_state,Verified
0x4DAC,internal_basic_block,0x4D02,direct_branch_or_fallthrough_target,Verified
0x4DB7,internal_basic_block,0x4DA6,direct_branch_or_fallthrough_target,Verified
0x4DD4,internal_basic_block,0x4DA6,direct_branch_or_fallthrough_target,Verified
0x4DFC,tail_jump_entry,0x5023,traversal_state,Verified
0x4E16,internal_basic_block,0x4DFC,direct_branch_or_fallthrough_target,Verified
0x4E3D,internal_basic_block,0x4DFC,direct_branch_or_fallthrough_target,Verified
0x4E68,callable_subroutine,0x4FE4,traversal_state,Verified
0x4E6D,internal_basic_block,0x4E68,direct_branch_or_fallthrough_target,Verified
0x4E6E,internal_basic_block,0x4E68,direct_branch_or_fallthrough_target,Verified
0x4E82,internal_basic_block,0x4E68,direct_branch_or_fallthrough_target,Verified
0x4ECE,internal_basic_block,0x4E68,direct_branch_or_fallthrough_target,Verified
0x4EFF,batch_continuation,0x4EFE,traversal_state,Verified
0x4F27,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4F38,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4F3A,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4F3C,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4F3E,internal_basic_block,0x4F83,direct_branch_or_fallthrough_target,Verified
0x4F7A,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4F83,batch_continuation,0x4F82,traversal_state,Verified
0x4F87,internal_basic_block,0x4EFF,direct_branch_or_fallthrough_target,Verified
0x4FAF,internal_basic_block,0x4F83,direct_branch_or_fallthrough_target,Verified
0x4FB1,internal_basic_block,0x4F83,direct_branch_or_fallthrough_target,Verified
0x4FBD,internal_basic_block,0x4F83,direct_branch_or_fallthrough_target,Verified
0x4FD5,internal_basic_block,0x4F83,direct_branch_or_fallthrough_target,Verified
0x4FD6,tail_jump_entry,0x5026,traversal_state,Verified
0x4FE2,internal_basic_block,0x4FD6,direct_branch_or_fallthrough_target,Verified
0x4FF0,callable_subroutine,0x425E;0x426A;0x4272;0x4279;0x428A;0x4E89;0x4E9C;0x4EAF;0x4EC2;0x4EE6;0x4F92;0x4F99;0x4FC4,traversal_state,Verified
0x4FF8,internal_basic_block,0x4FF0,direct_branch_or_fallthrough_target,Verified
0x500B,internal_basic_block,0x4FF0,direct_branch_or_fallthrough_target,Verified
0x500C,internal_basic_block,0x4FF0,direct_branch_or_fallthrough_target,Verified
0x500D,callable_with_tail_exits,0x41D8;0x41E0,traversal_state,Verified
0x5023,internal_basic_block,0x500D,direct_branch_or_fallthrough_target,Verified
0x5026,internal_basic_block,0x500D,direct_branch_or_fallthrough_target,Verified
0x5029,callable_indirect_dispatcher,0x472D,traversal_state,Verified
0x5034,internal_basic_block,0x5029,direct_branch_or_fallthrough_target,Verified
0x5047,callable_subroutine,known_sequence_read_helper,traversal_state,Verified
0x5055,internal_basic_block,0x5047,direct_branch_or_fallthrough_target,Verified
0x5059,tail_jump_entry,0x44A3,traversal_state,Verified
0x505B,internal_basic_block,0x5059,direct_branch_or_fallthrough_target,Verified
0x506D,internal_basic_block,0x5059,direct_branch_or_fallthrough_target,Verified
0x506F,callable_indirect_dispatcher,0x506A,traversal_state,Verified
0x50F1,bytecode_handler,opcode_table_0x88,traversal_state,Verified
0x5139,internal_basic_block,0x50F1,direct_branch_or_fallthrough_target,Verified
0x514B,bytecode_handler,opcode_table_0x89,traversal_state,Verified
0x5154,bytecode_handler,opcode_table_0x87,traversal_state,Verified
0x515F,bytecode_handler,opcode_table_0x86,traversal_state,Verified
0x516A,bytecode_handler,opcode_table_0x81,traversal_state,Verified
0x5173,bytecode_handler,opcode_table_0x80,traversal_state,Verified
0x517A,bytecode_handler,opcode_table_0x83,traversal_state,Verified
0x5181,callable_with_tail_exit,0x4C0D,traversal_state,Verified
0x518B,internal_basic_block,0x5181,direct_branch_or_fallthrough_target,Verified
0x5192,bytecode_handler,opcode_table_0x82,traversal_state,Verified
0x51A3,internal_basic_block,0x5181,direct_branch_or_fallthrough_target,Verified
0x51AA,bytecode_handler,opcode_table_0x85,traversal_state,Verified
0x51AE,bytecode_handler,opcode_table_0x84,traversal_state,Verified
0x51B3,bytecode_handler,opcode_table_0x8A,traversal_state,Verified
0x51B7,bytecode_handler,opcode_table_0x8B,traversal_state,Verified
0x51CB,bytecode_handler,opcode_table_0x9B,traversal_state,Verified
0x51E2,bytecode_handler,opcode_table_0x8C,traversal_state,Verified
0x51E6,bytecode_handler,opcode_table_0x8D,traversal_state,Verified
0x5206,batch_continuation,0x5203,traversal_state,Verified
0x5214,bytecode_handler,opcode_table_0x8E,traversal_state,Verified
0x523C,internal_basic_block,0x5206,direct_branch_or_fallthrough_target,Verified
0x523F,bytecode_handler,opcode_table_0x8F,traversal_state,Verified
0x5258,internal_basic_block,0x5206,direct_branch_or_fallthrough_target,Verified
0x525A,internal_basic_block,0x5206,direct_branch_or_fallthrough_target,Verified
0x5271,bytecode_handler,opcode_table_0xA4,traversal_state,Verified
0x5280,batch_continuation,0x527D,traversal_state,Verified
0x529C,internal_basic_block,0x5206,direct_branch_or_fallthrough_target,Verified
0x529E,bytecode_handler,opcode_table_0xA9,traversal_state,Verified
0x52A2,internal_basic_block,0x5280;0x52F3,direct_branch_or_fallthrough_target,Verified
0x52AA,bytecode_handler,opcode_table_0xAA,traversal_state,Verified
0x52B4,bytecode_handler,opcode_table_0xAB,traversal_state,Verified
0x52BA,bytecode_handler,opcode_table_0xAC,traversal_state,Verified
0x52C0,bytecode_handler,opcode_table_0xAD,traversal_state,Verified
0x52C6,bytecode_handler,opcode_table_0xB3,traversal_state,Verified
0x52E9,internal_basic_block,0x5280,direct_branch_or_fallthrough_target,Verified
0x52F3,bytecode_handler,opcode_table_0xB4,traversal_state,Verified
0x5316,internal_basic_block,0x52F3,direct_branch_or_fallthrough_target,Verified
0x5320,bytecode_handler,opcode_table_0xAE,traversal_state,Verified
0x532C,internal_basic_block,0x52F3,direct_branch_or_fallthrough_target,Verified
0x533A,internal_basic_block,0x52F3,direct_branch_or_fallthrough_target,Verified
0x5347,bytecode_handler,opcode_table_0xAF,traversal_state,Verified
0x5353,internal_basic_block,0x52F3,direct_branch_or_fallthrough_target,Verified
0x5361,internal_basic_block,0x52F3,direct_branch_or_fallthrough_target,Verified
0x5375,bytecode_handler,opcode_table_0xB0,traversal_state,Verified
0x5379,batch_continuation,0x5377,traversal_state,Verified
0x53C0,internal_basic_block,0x52F3;0x5379,direct_branch_or_fallthrough_target,Verified
0x53C2,bytecode_handler,opcode_table_0xB1,traversal_state,Verified
0x53F9,internal_basic_block,0x5379,direct_branch_or_fallthrough_target,Verified
0x53FB,bytecode_handler,opcode_table_0xB2,traversal_state,Verified
0x5401,bytecode_handler,opcode_table_0xB9,traversal_state,Verified
0x5404,bytecode_handler,opcode_table_0xBA,traversal_state,Verified
0x5410,bytecode_handler,opcode_table_0xB5,traversal_state,Verified
0x5417,bytecode_handler,opcode_table_0xB6,traversal_state,Verified
0x541E,bytecode_handler,opcode_table_0xB7,traversal_state,Verified
0x5425,bytecode_handler,opcode_table_0xB8,traversal_state,Verified
0x542A,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5432,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5444,callable_subroutine,0x53FB;0x5401;0x5410;0x5417;0x541E;0x5425,traversal_state,Verified
0x5463,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x546D,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5478,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5480,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5486,internal_basic_block,0x5401,direct_branch_or_fallthrough_target,Verified
0x5488,batch_continuation,0x5486,traversal_state,Verified
0x5490,internal_basic_block,0x5488,direct_branch_or_fallthrough_target,Verified
0x5496,internal_basic_block,0x5401;0x5488,direct_branch_or_fallthrough_target,Verified
0x54A1,internal_basic_block,0x5401;0x5488,direct_branch_or_fallthrough_target,Verified
0x54AB,internal_basic_block,0x5401;0x5488,direct_branch_or_fallthrough_target,Verified
0x54B1,bytecode_handler,opcode_table_0x9C,traversal_state,Verified
0x54CC,bytecode_handler,opcode_table_0x90,traversal_state,Verified
0x54E5,bytecode_handler,opcode_table_0x91,traversal_state,Verified
0x54F4,bytecode_handler,opcode_table_0x96,traversal_state,Verified
0x54F9,bytecode_handler,opcode_table_0x97,traversal_state,Verified
0x5514,batch_continuation,0x5513,traversal_state,Verified
0x5515,bytecode_handler,opcode_table_0x99,traversal_state,Verified
0x5524,bytecode_handler,opcode_table_0x9A,traversal_state,Verified
0x5531,internal_basic_block,0x5514,direct_branch_or_fallthrough_target,Verified
0x5535,bytecode_handler_with_shared_tail,opcode_table_0x9D,traversal_state,Verified
0x5546,internal_basic_block,0x5514,direct_branch_or_fallthrough_target,Verified
0x557A,internal_basic_block,0x5514,direct_branch_or_fallthrough_target,Verified
0x558F,callable_subroutine,0x483B,traversal_state,Verified
0x5594,internal_basic_block,0x558F,direct_branch_or_fallthrough_target,Verified
0x559C,internal_basic_block,0x558F,direct_branch_or_fallthrough_target,Verified
0x55D1,internal_basic_block,0x558F,direct_branch_or_fallthrough_target,Verified
0x55F3,internal_basic_block,0x558F,direct_branch_or_fallthrough_target,Verified
0x5613,bytecode_handler,opcode_table_0x9E,traversal_state,Verified
0x5653,internal_basic_block,0x5613,direct_branch_or_fallthrough_target,Verified
0x5655,bytecode_handler,opcode_table_0x9F,traversal_state,Verified
0x5674,internal_basic_block,0x5613,direct_branch_or_fallthrough_target,Verified
0x5676,callable_subroutine,0x562C;0x5631;0x5636;0x563B;0x566F,traversal_state,Verified
0x5689,internal_basic_block,0x5613,direct_branch_or_fallthrough_target,Verified
0x568A,bytecode_handler,opcode_table_0xA0,traversal_state,Verified
0x5696,batch_continuation,0x5695,traversal_state,Verified
