instruction_address,opcode,kind,storage,referenced_start,referenced_end_inclusive,fixed_size,operand_hex,confidence
30956,157,ym2151_voice,pointer,27346,27373,28,D2 6A,Verified
30971,157,ym2151_voice,pointer,27346,27373,28,D2 6A,Verified
30986,157,ym2151_voice,pointer,27346,27373,28,D2 6A,Verified
31001,157,ym2151_voice,pointer,27346,27373,28,D2 6A,Verified
31107,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
31145,157,ym2151_voice,pointer,27892,27919,28,F4 6C,Verified
31148,158,ym2151_envelope_register_block,base_plus_0x24,27928,27932,5,F4 6C,Verified
31175,157,ym2151_voice,pointer,27976,28003,28,48 6D,Verified
31178,158,ym2151_envelope_register_block,base_plus_0x24,28012,28016,5,48 6D,Verified
31239,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31425,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31505,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31587,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31617,157,ym2151_voice,pointer,28984,29011,28,38 71,Verified
31675,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31713,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31797,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
31873,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
31914,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31943,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31970,157,ym2151_voice,pointer,28438,28465,28,16 6F,Verified
31997,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32024,157,ym2151_voice,pointer,27472,27499,28,50 6B,Verified
32031,157,ym2151_voice,pointer,28270,28297,28,6E 6E,Verified
32135,157,ym2151_voice,pointer,29194,29221,28,0A 72,Verified
32148,157,ym2151_voice,pointer,29194,29221,28,0A 72,Verified
32161,157,ym2151_voice,pointer,29194,29221,28,0A 72,Verified
32174,157,ym2151_voice,pointer,27094,27121,28,D6 69,Verified
32191,157,ym2151_voice,pointer,27094,27121,28,D6 69,Verified
32208,157,ym2151_voice,pointer,27094,27121,28,D6 69,Verified
32227,157,ym2151_voice,pointer,27094,27121,28,D6 69,Verified
32242,157,ym2151_voice,pointer,29320,29347,28,88 72,Verified
32251,158,ym2151_envelope_register_block,base_plus_0x24,29356,29360,5,88 72,Verified
32260,157,ym2151_voice,pointer,29320,29347,28,88 72,Verified
32275,157,ym2151_voice,pointer,29320,29347,28,88 72,Verified
32290,157,ym2151_voice,pointer,29320,29347,28,88 72,Verified
32305,157,ym2151_voice,pointer,29320,29347,28,88 72,Verified
32320,157,ym2151_voice,pointer,28396,28423,28,EC 6E,Verified
32353,157,ym2151_voice,pointer,28396,28423,28,EC 6E,Verified
32386,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32413,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32444,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32469,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32496,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32523,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32552,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32579,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32610,157,ym2151_voice,pointer,27388,27415,28,FC 6A,Verified
32654,157,ym2151_voice,pointer,27388,27415,28,FC 6A,Verified
32663,157,ym2151_voice,pointer,27640,27667,28,F8 6B,Verified
32678,157,ym2151_voice,pointer,27640,27667,28,F8 6B,Verified
32693,157,ym2151_voice,pointer,29236,29263,28,34 72,Verified
32714,157,ym2151_voice,pointer,29236,29263,28,34 72,Verified
32733,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32744,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32757,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32768,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32779,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32790,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32801,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32812,157,ym2151_voice,pointer,27556,27583,28,A4 6B,Verified
32825,157,ym2151_voice,pointer,27304,27331,28,A8 6A,Verified
32828,158,ym2151_envelope_register_block,base_plus_0x24,27970,27974,5,1E 6D,Verified
32843,157,ym2151_voice,pointer,27304,27331,28,A8 6A,Verified
32858,157,ym2151_voice,pointer,27934,27961,28,1E 6D,Verified
32861,158,ym2151_envelope_register_block,base_plus_0x24,27970,27974,5,1E 6D,Verified
32876,157,ym2151_voice,pointer,27934,27961,28,1E 6D,Verified
32891,157,ym2151_voice,pointer,28522,28549,28,6A 6F,Verified
32894,158,ym2151_envelope_register_block,base_plus_0x24,28558,28562,5,6A 6F,Verified
32940,157,ym2151_voice,pointer,28522,28549,28,6A 6F,Verified
32995,157,ym2151_voice,pointer,28102,28129,28,C6 6D,Verified
33041,157,ym2151_voice,pointer,28102,28129,28,C6 6D,Verified
33093,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33122,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33149,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33176,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33201,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33230,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33257,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33286,157,ym2151_voice,pointer,28354,28381,28,C2 6E,Verified
33313,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33324,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33335,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33344,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33353,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33364,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33375,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33386,157,ym2151_voice,pointer,27430,27457,28,26 6B,Verified
33397,157,ym2151_voice,pointer,28606,28633,28,BE 6F,Verified
33404,157,ym2151_voice,pointer,28606,28633,28,BE 6F,Verified
33411,157,ym2151_voice,pointer,27808,27835,28,A0 6C,Verified
33426,157,ym2151_voice,pointer,27808,27835,28,A0 6C,Verified
33441,157,ym2151_voice,pointer,28102,28129,28,C6 6D,Verified
33474,157,ym2151_voice,pointer,28102,28129,28,C6 6D,Verified
33509,157,ym2151_voice,pointer,27640,27667,28,F8 6B,Verified
33524,157,ym2151_voice,pointer,28900,28927,28,E4 70,Verified
33559,157,ym2151_voice,pointer,28900,28927,28,E4 70,Verified
33594,157,ym2151_voice,pointer,28900,28927,28,E4 70,Verified
33629,157,ym2151_voice,pointer,29152,29179,28,E0 71,Verified
33638,157,ym2151_voice,pointer,29152,29179,28,E0 71,Verified
33647,157,ym2151_voice,pointer,29152,29179,28,E0 71,Verified
33656,157,ym2151_voice,pointer,29152,29179,28,E0 71,Verified
